id,proper,x,y,z,mag,spect,dist,ra,dec
43,Alphard,-42.218922,33.103863,-8.17029,1.98,K3II,54.268,9.46,-8.659
44,Hamal,17.930496,11.110881,9.155277,2.0,K2III,22.995,2.119,23.462
45,Algieba,-32.932295,15.36008,13.112671,2.08,K1III,38.632,10.333,19.842
46,Diphda,27.576935,5.305489,-9.117564,2.04,K0III,29.526,0.726,-17.987
47,Nunki,14.964951,-60.857585,-30.969623,2.02,B2.5V,69.905,18.921,-26.297
48,Menkent,-12.355318,-7.620377,-10.690639,2.06,K0III,18.028,14.111,-36.37
49,Alpheratz,25.971063,0.952316,14.459677,2.06,B8IV,29.74,0.14,29.091
50,Mirach,47.31986,14.856359,35.535598,2.06,M0III,61.014,1.162,35.621
51,Ankaa,17.34509,1.997693,-15.890494,2.39,K0III,23.608,0.438,-42.306
52,Scheat,51.432007,-12.875893,28.288237,2.42,M2.5II,60.094,23.063,28.082
53,Alderamin,5.270511,-4.480008,13.336239,2.44,A7IV,15.023,21.309,62.585
54,Sadr,244.963807,-342.603791,356.635523,2.2,F8Ib,551.882,20.371,40.257
55,Eltanin,-0.439563,-29.454083,37.01839,2.23,K5III,47.309,17.943,51.489
56,Schedar,37.945233,6.776159,58.317716,2.23,K0II,69.905,0.675,56.537
57,Naos,-130.258941,217.646831,-212.858951,2.25,O5I,331.129,8.06,-40.003
58,Algol,14.6752,15.759269,18.690265,2.12,B8V,28.514,3.136,40.956
59,Almach,68.990526,41.41273,73.295082,2.26,K3II,108.843,2.065,42.33
60,Denebola,-10.640816,0.507392,2.769316,2.14,A3V,11.007,11.818,14.572
61,Proxima Centauri,-0.473823,-0.362593,-1.154984,11.13,M5.5V,1.3,14.495,-62.68
62,Barnard's Star,-0.020025,-1.821106,0.149507,9.53,M4V,1.827,17.958,4.693
63,Wolf 359,-2.298121,0.663101,0.294067,13.53,M6V,2.41,10.927,7.009
64,Lalande 21185,-1.996224,0.496974,1.492802,7.47,M2V,2.542,11.068,35.967
65,Luyten 726-8,2.312445,1.066052,-0.824901,12.61,M5.5V,2.677,1.65,-17.95
66,Sirius B,-0.493967,2.476563,-0.758408,8.44,DA2,2.637,6.752,-16.716
67,Ross 154,0.583973,-2.65165,-1.198392,10.43,M3.5V,2.968,18.828,-23.815
68,Ross 248,2.262336,-0.182222,2.204609,12.29,M5.5V,3.164,23.693,44.167
69,Epsilon Eridani,1.904295,2.548768,-0.530019,3.73,K2V,3.225,3.549,-9.458
70,Lacaille 9352,2.595514,-0.621691,-1.92872,7.34,M1.5V,3.293,23.102,-35.854
71,Ross 128,-3.370438,0.181946,0.047309,11.13,M4V,3.376,11.794,0.803
72,EZ Aquarii,3.120172,-1.172485,-0.910796,13.03,M5V,3.455,22.627,-15.283
73,61 Cygni,1.98459,-1.868549,2.187855,5.21,K5V,3.495,21.115,38.752
74,Procyon B,-1.469069,3.175716,0.319978,10.7,DQZ,3.514,7.655,5.225
75,Struve 2398,0.340551,-1.752802,3.047465,8.9,M3V,3.532,18.733,59.633
76,Groombridge 34,2.572244,0.209217,2.456144,8.08,M1.5V,3.563,0.31,43.583
77,Epsilon Indi,1.734937,-0.965059,-3.031865,4.69,K5V,3.624,22.061,-56.783
78,Tau Ceti,3.149531,1.538852,-1.000978,3.5,G8.5V,3.645,1.736,-15.937
79,Luyten 789-6,3.381424,-1.247473,-1.000683,12.33,M5V,3.741,22.65,-15.517
80,TRAPPIST-1,12.075802,-2.8958,-1.095621,18.8,M8V,12.466,23.101,-5.042
81,Kepler-186,14.487321,-30.028628,32.12146,14.62,M1V,46.297,19.717,43.933
82,Kepler-452,41.371659,-84.843262,92.04009,13.43,G2V,131.838,19.733,44.277
83,HD 209458,11.908346,-6.640356,4.663923,7.65,G0V,14.41,22.057,18.884
84,55 Cancri,-7.18617,8.413925,5.965387,5.95,G8V,12.571,8.7,28.33
85,Gliese 876,4.353978,-1.30957,-1.154704,10.17,M4V,4.691,22.884,-14.25
86,Kepler-22,12.87713,-36.884777,43.211612,11.66,G5V,58.254,19.283,47.883
87,WASP-12,-14.965674,112.762959,64.809187,11.69,G0V,130.919,6.504,29.672
88,HD 189733,2.812708,-4.842432,2.343697,7.67,K2V,6.071,20.01,22.71
89,Kepler-62,17.843881,-77.25958,80.26814,13.75,K2V,112.829,18.867,45.35
